venue_id,venue_name,location,starting_price
,Arman Tennis Court B (d/h Weedees),4.79·  Kota Depok,"Rp220,000"
,La Niny Tennis Court,4.84·  Kota Jakarta Selatan,"Rp225,000"
,RacketGo Sunter,4.81·  Kota Jakarta Utara,"Rp225,000"
,Gilatennis kebayoran lama,4.64·  Kota Jakarta Selatan,"Rp225,000"
,Wibowo Hadisubroto Tennis Center,5.00·  Kota Cimahi,"Rp225,000"
,Chemistry Tennis Court,Kota Depok,"Rp225,000"
,Nammos Sports & Social,4.87·  Kabupaten Sleman,"Rp225,000"
,British School Jakarta,4.94·  Kota Tangerang Selatan,"Rp230,000"
,The Citadel,5.00·  Kota Jakarta Barat,"Rp230,000"
,My Club House - Tennis,4.99·  Kota Jakarta Utara,"Rp235,000"
,House Of Tennis Kedoya,4.84·  Kota Jakarta Barat,"Rp240,000"
,Antam Sports Center,4.00·  Kota Jakarta Selatan,"Rp240,000"
,Metro Puri Tennis Indoor,4.89·  Kota Jakarta Barat,"Rp250,000"
,Tennis Court Puri Anandita,5.00·  Kabupaten Bogor,"Rp250,000"
,The Raquette Temple Sunter,5.00·  Kota Jakarta Utara,"Rp250,000"
,Poppies Racquet Club,Kota Tangerang,"Rp250,000"
,King Tennis Privé,4.83·  Kota Jakarta Selatan,"Rp250,000"
,The Court By Baritopia,5.00·  Kabupaten Barito Kuala,"Rp250,000"
,Tennis And Padel Plush Premier Medan,Kota Medan,"Rp250,000"
,Nara Tennis Court Indoor,4.76·  Kota Jakarta Selatan,"Rp260,000"
,DBL Academy Jakarta East,5.00·  Kota Jakarta Timur,"Rp260,000"
,The Racquet Club ( TRC ),4.91·  Kota Jakarta Selatan,"Rp275,000"
,Jungle Tennis,4.93·  Kota Jakarta Barat,"Rp275,000"
,Prisma Tennis,4.84·  Kota Jakarta Barat,"Rp275,000"
,Trilogi Arena By Duale,4.92·  Kota Jakarta Selatan,"Rp275,000"
,Foreground  Racquet Simulator - Sunter,5.00·  Kota Jakarta Utara,"Rp275,000"
,House Of Tennis Reserve Kebon Jeruk,Kota Jakarta Barat,"Rp275,000"
,Exploria Court,5.00·  Kota Jakarta Selatan,"Rp280,000"
,Open Stance Tennis Indoor,Kota Jakarta Selatan,"Rp280,000"
,3Nine Indoor Tennis,Kota Jakarta Selatan,"Rp285,000"
,Maison Tennis Playcourt - Bintaro,4.93·  Kota Tangerang Selatan,"Rp290,000"
,Foreground Racquet Simulator - Kemang,4.92·  Kota Jakarta Selatan,"Rp300,000"
,Gandaria Tennis Arena,4.95·  Kota Jakarta Selatan,"Rp330,000"
,Capital Racquet,5.00·  Kota Jakarta Selatan,"Rp350,000"
,Premier Court Mitrasraya,4.71·  Kota Jakarta Selatan,"Rp375,000"
,Tennis Indoor Andy Jaya,4.61·  Kota Bekasi,"Rp400,000"
,Sheraton Surabaya Tennis Court,5.00·  Kota Surabaya,"Rp500,000"
,Andy Jaya Tennis Club,4.31·  Kota Bekasi,"Rp600,000"
,Menteng Tennis Club @ Common Grounds Terra,4.90·  Kota Jakarta Pusat,"Rp900,000"
